"average(cantidad)","sum(cantidad)","average(gain)","sum(gain)","average(gap)","average(precio_compra)","average(precio_venta)","day"
98.974,494.87,46.834496799999854,234.17248399999926,0.4731999999999985,19.9308,20.404,2022-05-04 10:00:00
2001.3775,8005.51,944.2499045000035,3776.999618000014,0.4718000000000018,19.9636,20.4354,2022-05-05 09:00:00
1838.4719999999998,9192.359999999999,869.4134087999986,4347.067043999993,0.4728999999999992,19.9154,20.3883,2022-05-06 08:00:00
526.83,3687.81,249.1379069999996,1743.965348999997,0.4728999999999992,19.913299999999996,20.3862,2022-05-07 10:00:00
80.27,80.27,40.50424199999999,40.50424199999999,0.5045999999999999,19.9126,20.4172,2022-05-08 09:00:00
652.2677777777777,5870.41,308.00084466666726,2772.007602000005,0.47220000000000084,20.0324,20.5046,2022-05-09 08:00:00
3649.2574999999997,14597.029999999999,1727.923426250005,6911.69370500002,0.47350000000000136,20.0687,20.5422,2022-05-10 11:00:00
1433.8785714285716,10037.150000000001,676.2171342857175,4733.519940000023,0.47160000000000224,20.053699999999996,20.525299999999998,2022-05-11 08:00:00
1320.7033333333334,7924.22,622.8436919999982,3737.0621519999895,0.4715999999999987,20.0455,20.5171,2022-05-12 09:00:00
1301.0,6505.0,660.1274000000006,3300.6370000000034,0.5074000000000005,19.9163,20.4237,2022-05-13 08:00:00
1470.362222222222,13233.259999999998,697.6868744444482,6279.181870000034,0.4745000000000026,19.9348,20.4093,2022-05-14 10:00:00
64.55,193.65,30.525694999999946,91.57708499999984,0.4728999999999992,19.9378,20.4107,2022-05-15 11:00:00
303.8866666666666,1823.3199999999997,142.88751066666725,857.3250640000035,0.47020000000000195,19.8492,20.3194,2022-05-16 08:00:00
405.0675,1620.27,190.46273849999938,761.8509539999975,0.4701999999999984,19.7573,20.2275,2022-05-17 10:00:00
646.03,646.03,303.763305999999,303.763305999999,0.4701999999999984,19.7558,20.226,2022-05-18 13:00:00
9496.11,9496.11,4466.020532999983,4466.020532999983,0.47029999999999816,19.6976,20.1679,2022-05-19 09:00:00
1305.8216666666665,7834.9299999999985,620.0041273333311,3720.0247639999866,0.47479999999999833,19.652,20.1268,2022-05-20 09:00:00
280.068,1400.34,132.97628639999954,664.8814319999976,0.47479999999999833,19.6494,20.1242,2022-05-21 09:00:00
665.9611111111111,5993.65,315.39918222222303,2838.592640000007,0.47360000000000113,19.6495,20.123099999999997,2022-05-22 09:00:00
703.634,3518.17,331.8337943999991,1659.1689719999954,0.4715999999999987,19.6385,20.1101,2022-05-23 09:00:00
340.15500000000003,2040.93,160.38308249999963,962.2984949999978,0.4714999999999989,19.626,20.0975,2022-05-24 08:00:00
461.34,2768.04,223.24242599999926,1339.4545559999956,0.48389999999999844,19.6156,20.099500000000003,2022-05-25 08:00:00
201.78375,1614.27,96.23067037500012,769.8453630000009,0.47690000000000055,19.5763,20.0532,2022-05-26 10:00:00
1927.5650000000003,11565.390000000001,904.4134980000014,5426.480988000008,0.4692000000000007,19.4358,19.905,2022-05-27 08:00:00
1415.6266666666668,8493.76,664.212032000001,3985.2721920000063,0.4692000000000007,19.4328,19.902,2022-05-28 08:00:00
128.185,256.37,59.97776150000003,119.95552300000006,0.4679000000000002,19.4315,19.8994,2022-05-29 13:00:00
496.9566666666667,1490.8700000000001,233.86780733333384,701.6034220000015,0.470600000000001,19.3481,19.8187,2022-05-30 09:00:00
1040.35,5201.75,495.6227399999981,2478.1136999999903,0.47639999999999816,19.4202,19.8966,2022-05-31 08:00:00
2681.7925,10727.17,1295.5739567500007,5182.295827000003,0.4831000000000003,19.4637,19.9468,2022-06-01 10:00:00
149.18,596.72,70.02509200000004,280.1003680000002,0.46940000000000026,19.3923,19.8617,2022-06-02 09:00:00
1451.475714285714,10160.329999999998,683.6450614285716,4785.515430000001,0.4710000000000001,19.362799999999996,19.8338,2022-06-03 09:00:00
1120.1025,4480.41,527.4562672500003,2109.8250690000013,0.4709000000000003,19.3508,19.8217,2022-06-04 10:00:00
284.44666666666666,1706.6799999999998,133.51926533333344,801.1155920000006,0.46940000000000026,19.3489,19.818299999999997,2022-06-05 08:00:00
482.2633333333333,1446.79,225.74746633333316,677.2423989999995,0.46809999999999974,19.3557,19.8238,2022-06-06 10:00:00
406.63000000000005,1626.5200000000002,190.91278499999999,763.6511399999999,0.46950000000000003,19.3845,19.854,2022-06-07 08:00:00
307.72400000000005,1538.6200000000001,145.49190720000092,727.4595360000046,0.472800000000003,19.3818,19.8546,2022-06-08 08:00:00
134.33,402.99,63.01420299999966,189.04260899999898,0.4690999999999974,19.4247,19.8938,2022-06-09 09:00:00
687.5766666666667,4125.46,341.03802666666576,2046.2281599999944,0.49599999999999866,19.6427,20.1387,2022-06-10 09:00:00
1241.1425,4964.57,654.7026687499998,2618.8106749999993,0.5274999999999999,19.6289,20.1564,2022-06-11 11:00:00
1223.7824999999998,9790.259999999998,605.5275810000019,4844.220648000015,0.49480000000000146,19.6544,20.149200000000004,2022-06-12 08:00:00
393.688,1968.44,185.15146640000066,925.7573320000033,0.4703000000000017,20.0538,20.5241,2022-06-13 08:00:00
411.77571428571434,2882.4300000000003,195.84052971428574,1370.883708,0.4756,20.263900000000003,20.739499999999996,2022-06-14 08:00:00
394.1991666666667,4730.39,186.6533054166672,2239.8396650000063,0.47350000000000136,20.2072,20.6807,2022-06-15 08:00:00
939.7933333333333,8458.14,444.89816399999813,4004.0834759999834,0.47339999999999804,20.2496,20.723,2022-06-16 10:00:00
